,Year,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Republic of Cyprus,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom
0,1990,24721.0,0.0,26073.0,0.0,0.0,23218.0,0.0,14901.0,171107.0,232351.0,28629.0,39346.0,11943.0,148199.0,0.0,0.0,0.0,819.0,70331.0,149870.0,28181.0,13.0,62989.0,0.0,0.0,120074.0,24271.0,133515.0
1,1991,24461.0,0.0,27231.0,0.0,0.0,23248.0,0.0,13797.0,176966.0,211866.0,29661.0,36099.0,11496.0,152166.0,0.0,0.0,0.0,828.0,62610.0,141291.0,27411.0,9.0,60804.0,0.0,0.0,120149.0,23511.0,129751.0
2,1992,24427.0,0.0,21809.0,9525.0,0.0,23610.0,4771.0,13703.0,170332.0,211566.0,30188.0,31499.0,11424.0,153521.0,8167.0,9667.0,0.0,860.0,66338.0,123873.0,26344.0,8.0,61463.0,0.0,4087.0,117991.0,23707.0,132955.0
3,1993,24317.0,0.0,19150.0,9972.0,0.0,23199.0,4294.0,13207.0,176487.0,205382.0,30280.0,29053.0,11510.0,148887.0,7130.0,11171.0,0.0,894.0,58813.0,140162.0,27717.0,13.0,59847.0,13515.0,4454.0,117297.0,24404.0,131707.0
4,1994,24389.0,0.0,19537.0,10754.0,0.0,23628.0,3646.0,13711.0,173802.0,206518.0,31919.0,32109.0,12016.0,147704.0,6687.0,9889.0,0.0,847.0,63656.0,124010.0,28202.0,9.0,62280.0,13147.0,4760.0,116546.0,24661.0,133588.0
5,1995,23295.0,0.0,19805.0,11546.0,0.0,24633.0,3675.0,13951.0,171303.0,207780.0,31646.0,31241.0,12293.0,148219.0,6164.0,9595.0,0.0,888.0,57322.0,133315.0,28236.0,19.0,61891.0,12974.0,4842.0,110088.0,24414.0,129456.0
6,1996,22987.0,0.0,17748.0,11790.0,0.0,25524.0,3690.0,14118.0,172085.0,211402.0,32471.0,32118.0,11903.0,155230.0,6684.0,10950.0,0.0,999.0,58885.0,132085.0,28121.0,11.0,60996.0,13712.0,5124.0,120240.0,24832.0,134946.0
7,1997,24459.0,0.0,18398.0,11910.0,0.0,26599.0,3864.0,14409.0,172722.0,205932.0,32752.0,31400.0,12727.0,152197.0,6290.0,12535.0,0.0,988.0,55002.0,128013.0,28212.0,26.0,61843.0,13142.0,4998.0,126645.0,25143.0,137653.0
8,1998,23958.0,0.0,19113.0,12197.0,0.0,26624.0,3800.0,14548.0,175638.0,209584.0,33084.0,31892.0,12420.0,156458.0,5643.0,12347.0,0.0,1099.0,54021.0,138942.0,30510.0,24.0,62742.0,12688.0,4795.0,130147.0,24751.0,137296.0
9,1999,23080.0,0.0,18766.0,12078.0,0.0,26560.0,3876.0,14364.0,176283.0,206727.0,34861.0,32308.0,13535.0,161491.0,5558.0,11216.0,0.0,1090.0,61762.0,130514.0,30553.0,16.0,64218.0,12362.0,5092.0,131408.0,24746.0,139757.0
10,2000,23298.0,35680.0,16572.0,11489.0,0.0,27055.0,4388.0,14508.0,178239.0,217063.0,35438.0,30485.0,13383.0,164746.0,5675.0,11825.0,1220.0,1096.0,59552.0,131627.0,29707.0,19.0,57803.0,11091.0,5095.0,133017.0,24414.0,138666.0
11,2001,23707.0,35763.0,16781.0,13187.0,0.0,27308.0,4326.0,14906.0,182113.0,213744.0,35552.0,30530.0,14547.0,156250.0,5549.0,11918.0,1222.0,1096.0,59524.0,127756.0,30145.0,22.0,62575.0,11663.0,4773.0,131812.0,24469.0,144443.0
12,2002,23230.0,36506.0,17109.0,13277.0,0.0,28295.0,3800.0,14810.0,183302.0,219432.0,35235.0,30684.0,15409.0,156399.0,5999.0,11560.0,1310.0,1061.0,54010.0,119938.0,28812.0,17.0,63550.0,11528.0,5186.0,135708.0,24834.0,145480.0
13,2003,23479.0,36217.0,15318.0,12438.0,0.0,28681.0,3530.0,15281.0,171211.0,209830.0,36026.0,30393.0,15416.0,155143.0,5893.0,11780.0,1309.0,1093.0,52516.0,114677.0,28340.0,47.0,68788.0,10945.0,4683.0,142802.0,24928.0,148295.0
14,2004,24465.0,35273.0,17512.0,12886.0,0.0,27889.0,3522.0,15085.0,181238.0,215978.0,37606.0,30819.0,15756.0,167995.0,5657.0,10937.0,1308.0,1103.0,55990.0,119996.0,30299.0,29.0,71555.0,11072.0,5346.0,142711.0,25203.0,147730.0
15,2005,24466.0,32353.0,15388.0,12187.0,0.0,28266.0,3793.0,15111.0,177327.0,217398.0,35873.0,30426.0,15474.0,164683.0,5954.0,11435.0,1290.0,1084.0,51748.0,108920.0,28393.0,9.0,68885.0,10654.0,5182.0,134618.0,24218.0,150257.0
16,2006,24030.0,32234.0,14713.0,11916.0,0.0,28703.0,3469.0,14580.0,172824.0,217313.0,35090.0,29617.0,15220.0,160462.0,5751.0,9860.0,1295.0,1049.0,54371.0,105204.0,27894.0,18.0,70546.0,10800.0,4890.0,138483.0,23504.0,148738.0
17,2007,24431.0,35016.0,13637.0,11476.0,0.0,27657.0,4006.0,15526.0,172974.0,215849.0,36091.0,27713.0,15227.0,160903.0,5778.0,10866.0,1300.0,1147.0,55267.0,117841.0,29328.0,28.0,65330.0,10484.0,5009.0,144947.0,24649.0,146990.0
18,2008,25267.0,34902.0,13079.0,13085.0,0.0,27209.0,3765.0,15567.0,177453.0,221273.0,35304.0,27344.0,16917.0,158423.0,5401.0,10258.0,1377.0,1074.0,55742.0,114496.0,28977.0,40.0,64818.0,10704.0,5109.0,141519.0,25508.0,148209.0
19,2009,24731.0,34964.0,13281.0,11937.0,0.0,26677.0,3780.0,15633.0,172872.0,222413.0,34021.0,26985.0,15851.0,158382.0,5529.0,10224.0,1345.0,1008.0,54980.0,114009.0,28312.0,10.0,61090.0,11147.0,4901.0,136073.0,25255.0,145861.0
20,2010,24518.0,32708.0,13463.0,11475.0,0.0,27263.0,3514.0,15254.0,167332.0,210659.0,31975.0,25144.0,15786.0,154867.0,5303.0,9023.0,1375.0,966.0,53418.0,111292.0,28263.0,31.0,60827.0,11573.0,4695.0,133940.0,23938.0,146770.0
21,2011,25444.0,32196.0,13007.0,11247.0,0.0,26527.0,3633.0,15835.0,169166.0,214165.0,33246.0,25388.0,15572.0,156057.0,5462.0,9634.0,1432.0,977.0,54448.0,114343.0,28010.0,63.0,66078.0,11819.0,4652.0,133445.0,25578.0,146143.0
22,2012,24071.0,31326.0,11841.0,10234.0,0.0,25719.0,3781.0,16137.0,164096.0,215798.0,32503.0,24185.0,16010.0,153460.0,5217.0,10017.0,1501.0,994.0,53325.0,113530.0,28480.0,136.0,53690.0,9786.0,4506.0,127967.0,25908.0,146451.0
